StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       01,      00,   198205,   2.96,   71.7,    .42,   -1.1,  -1.37,   -.09,    210,     15,   -.61,     .6,   -.27,    .61,      0,   -.27,  -1.41,   58.6,   84.7,
       01,      00,   198206,   5.01,   76.3,    .69,   -.67,    .94,    .59,    319,      1,    .51,   -.13,    .63,    .53,    .32,    -.1,  -1.18,   64.6,     88,
       01,      00,   198207,   6.08,   79.5,    .86,    .86,    .73,    .86,    442,      0,    .54,     .6,    .12,    .42,    .39,    .19,   -.92,     69,     90,
       01,      00,   198208,   3.77,   78.6,    .73,    .73,   -.13,    .73,    405,      0,   -.34,    .06,    .29,   -.12,     .6,    .08,   -.81,   68.4,   88.8,
       01,      00,   198209,   2.03,   72.2,    .19,    .19,   -1.4,    -.5,    211,     13,   -.91,  -1.03,   -.51,    .12,    .21,    .06,  -1.03,   60.2,   84.2,
       01,      00,   198210,   2.68,   64.1,    .09,    .09,   -.23,   -.53,     72,    123,    .07,   -.64,   -.83,   -.52,   -.04,    .03,  -1.13,   51.5,   76.7,
       01,      00,   198211,   5.62,   55.1,    .55,    .55,   1.39,    .55,     10,    334,    .96,    .64,     .1,    .15,    -.1,    .55,   -.92,   43.4,   66.7,
       01,      00,   198212,   8.29,   52.4,   1.33,   1.33,    2.5,   1.33,     15,    431,   1.36,   1.49,   1.25,    .66,    .84,     .8,   -.26,   42.8,     62,
       01,      00,   198301,   4.34,   42.1,   1.02,   1.02,   -.52,    .63,      3,    737,   -.26,    .83,    1.1,    .35,    .32,    .57,      0,   32.2,   52.1,
       01,      00,   198302,   7.76,   46.6,    1.7,    1.7,   2.38,    1.7,      2,    540,   1.26,    .74,   1.38,      1,    .98,    .57,    .07,   36.8,   56.4,
       01,      00,   198303,   7.73,     52,   1.99,   1.99,   1.39,   1.99,     10,    430,    .74,   1.27,    .94,   1.47,   1.07,   1.14,    .29,   40.8,   63.2,
       01,      00,   198304,   9.44,   57.8,   3.18,   3.18,    4.2,   3.18,      8,    251,   1.75,   1.63,   1.92,   2.07,   1.62,   1.39,     .9,   45.2,   70.4,
       01,      00,   198305,   6.37,   68.6,   3.71,   3.71,   2.56,   3.71,    135,     45,   1.16,   1.92,   1.82,   2.19,   1.88,   1.81,   1.14,   56.7,   80.5,
       01,      00,   198306,   5.94,   74.5,   4.11,   4.11,   2.37,   4.11,    274,      1,    .91,   1.26,   1.89,   1.93,   2.31,      2,   1.37,   64.4,   84.6,
       01,      00,   198307,   1.98,   80.6,    2.7,    2.7,  -2.96,    1.5,    471,      0,  -3.09,    -.6,    .19,   1.53,   1.87,   1.41,   1.15,   69.1,     92,
       01,      00,   198308,   3.07,   81.1,   1.72,   1.72,  -2.11,   -.28,    496,      0,   -.87,  -2.19,  -1.04,    .99,    1.5,    1.3,    .95,   69.2,     93,
       01,      00,   198309,   4.61,     72,   1.78,   1.78,     .7,     .1,    210,     11,    .56,   -.15,  -1.37,    .91,   1.18,   1.62,   1.15,   60.2,   83.8,
       01,      00,   198310,   2.44,     64,   1.45,   1.45,   -.44,   -.33,     72,    122,   -.07,    .25,   -.28,    -.1,   1.24,    1.6,   1.09,   51.9,   76.1,
       01,      00,   198311,   7.47,   53.2,   2.37,   2.37,   3.22,   1.66,      4,    381,   1.55,   1.07,   1.05,    .22,   1.38,   1.77,   1.61,   40.4,     66,
       01,      00,   198312,   9.22,   41.8,   3.43,   3.43,   3.89,   3.43,      0,    754,   1.66,    2.1,   1.77,    .72,   1.78,   1.84,   1.91,   31.6,     52,
